County,Establishment Type,Entity Name,DBA Name,Square Footage,Latitude,Longitude
Albany,Convenience Store,GENERAL NUTRITION CORP           ,7-ELEVEN INC                     ,1600,42.752101,-73.766837
Albany,Convenience Store,FAMILY DOLLAR STORES OF NY INC   ,7-ELEVEN INC                     ,8000,42.737077,-73.700514
Albany,Convenience Store,DUNCO INC                        ,7-ELEVEN INC                     ,2000,42.774208,-73.698063
Albany,Convenience Store,STEWARTS SHOPS CORP              ,7-ELEVEN INC                     ,1600,42.771966,-73.727997
Albany,Convenience Store,TARGET CORP                      ,7-ELEVEN INC                     ,120000,42.754792,-73.772592
Albany,Convenience Store,OSMAN ALAAELDIN M                ,7-ELEVEN INC                     ,1000,42.643536,-73.755903
Albany,Grocery/Manufacturer,A&S BROTHERS INC                 ,MEGA MART              ,1400,42.715724,-73.830728
Albany,Grocery/Manufacturer,ANASTASIO IMPORTING CO INC       ,PELLEGRINO IMPORTING CO,5380,42.694261,-73.806236
Albany,Store,HUSHMENDY FERSHID&DILNAVAZ       ,COULSONS NEWS CENTER   ,2000,42.727576,-73.760318
Albany,Grocery/Manufacturer,RAJA HAFEEZ URREHMAN             ,LATHAM FOOD MART       ,2000,42.745139,-73.752996
Albany,Convenience Store,RITE AID OF NEW YORK INC         ,RITE AID #3331         ,14000,42.774188,-73.702664
Albany,Store,AZIZ MOHAMMAD S                  ,24 HR ALBANY NEWS      ,1800,42.657136,-73.763712
Albany,Discount Store,DOLGENCORP OF NEW YORK INC       ,DOLLAR GENERAL 8650    ,3000,42.762476,-73.75283
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 240      ,2000,42.541179,-73.805892
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 293      ,1800,42.740152,-73.736837
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 304      ,2000,42.579348,-73.875114
Albany,Grocery/Manufacturer,A&S BROTHERS INC.                ,MEGA MART II           ,1500,42.712622,-73.755439
Albany,Grocery/Manufacturer,ARBAB ABDUL WAHID                ,L&B GROCERIES          ,1000,42.662408,-73.768595
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 402      ,2000,42.724401,-73.840629
Albany,BJS Wholesale,BJS WHOLESALE CLUB INC           ,BJS WHOLESALE CLUB 07  ,105000,42.70701,-73.82081
Albany,Gas Station,INANC I OZBAY INC                ,USA GAS MART           ,600,42.684277,-73.847703
Albany,Store,COHOES FASHION OF CROSSGATE INC  ,COHOES FASHION GRMT SHP,150,42.687038,-73.850605
Albany,Grocery Store,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD 8386         ,64000,42.752101,-73.766837
